time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/std,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_fraction
535,5140,84,480.7413024902344,2752512,400.0,7.794182186325391,0.00015,0.2,0.005769824244149883,-0.0020771725103259087,0.1668972671031952,-0.0038570830559668443,498,0.9868473410606384,0.03722431,0.4132792154947917
541,5142,85,471.617919921875,2785280,400.0,7.827724968393643,0.00015,0.2,0.0048362148791056825,-0.006842547096312046,0.1665731817483902,-0.0022083512709893207,504,0.9921794533729553,0.039246745,0.4024403889973958
547,5145,86,510.563720703125,2818048,400.0,7.863047577440739,0.00015,0.2,0.005022039558753022,-0.0032870792783796787,0.16633294522762299,-0.002546935319818052,510,0.9908166527748108,0.04106298,0.4122212727864583
554,5145,87,458.7452087402344,2850816,400.0,7.895361257096131,0.00015,0.2,0.005138819821998671,-0.008437823504209518,0.16603194177150726,-0.002869976166645453,516,0.9882697463035583,0.036064394,0.4023895263671875
560,5146,88,480.9864501953125,2883584,400.0,7.936798043549061,0.00015,0.2,0.005212579778041497,-0.011945496313273907,0.16574135422706604,-0.0017075234700314468,522,0.9913809299468994,0.039907522,0.4108734130859375
566,5146,89,436.5021057128906,2916352,400.0,7.958400871604681,0.00015,0.2,0.004661141090158101,-0.006669854745268822,0.16565945744514465,-0.001851643263459361,528,0.9930672645568848,0.03890462,0.41278076171875
572,5147,90,479.20391845703125,2949120,400.0,7.9707853347063065,0.00015,0.2,0.0055180896409486495,0.008919823914766312,0.1655454933643341,-0.0016851217224029824,534,0.9896700382232666,0.040988363,0.4155782063802083
579,5149,91,479.7236633300781,2981888,400.0,7.958168615897496,0.00015,0.2,0.0052454872663171654,0.016988983377814293,0.1657496839761734,-0.0021849038797275475,540,0.9906762838363647,0.037965745,0.4017690022786458
585,5151,92,512.3422241210938,3014656,400.0,7.946051329374313,0.00015,0.2,0.005199033149741202,-0.015728356316685677,0.16578327119350433,-0.0033687532052984657,546,0.9898029565811157,0.039924566,0.4142557779947917
591,5153,93,488.3832702636719,3047424,400.0,7.965943178782861,0.00015,0.2,0.005505459410414915,-0.006345557980239391,0.16552355885505676,-0.0018517977908535006,552,0.9902176856994629,0.03889839,0.4036509195963542
597,5154,94,471.1899108886719,3080192,400.0,7.984587090710799,0.00015,0.2,0.005039491619754699,-0.01875881291925907,0.16541776061058044,-0.002296805248988676,558,0.9879112839698792,0.038585562,0.4063262939453125
603,5155,95,479.82366943359375,3112960,400.0,8.009601024289926,0.00015,0.2,0.004648338264208481,-0.010384339839220047,0.16519033908843994,-0.0034056894825577424,564,0.9921556115150452,0.040278383,0.4121348063151042
610,5156,96,489.810302734375,3145728,400.0,8.02997044970592,0.00015,0.2,0.004776273766765371,-0.0071865953505039215,0.16505876183509827,-0.0024798895707742,570,0.992684543132782,0.037869617,0.3976084391276042
616,5158,97,504.48870849609375,3178496,400.0,8.070368374387423,0.00015,0.2,0.004352944205190094,-0.013959702104330063,0.16460132598876953,-0.0031051636008972614,576,0.9907976984977722,0.039786555,0.4090169270833333
